"section","subsection","element","Value"
"Data","Data partitioning","Test data","none; we used virtual species analysis and randomisation of data analysis, to explore the probability of creating spurious results due to the flexible algorithms, but no external validation"
"Data","Predictor variables","Predictor variables","we selected 12 predictors, based on our understanding of the ecology of the bird, but not considering their collinearity (which is part of the model setup): 5 land cover, 1 biotope diversity, slope, distance to rivers, distance to settlements, percentage of sandy soil, mean annual temperature, annual precipitation"
"Data","Predictor variables","Data sources","web-references to data sources given in the paper footnotes; only land use had to be purchased, all others are freely available"
"Data","Predictor variables","Spatial extent of raw data",
"Data","Predictor variables","Spatial resolution","same as biodiversity data"
"Data","Predictor variables","Projection","Bessel, Potsdam in Gauss-Krüger (zone 3) coordinates"
"Data","Predictor variables","Temporal extent","4 years (1993-1996)"
"Data","Predictor variables","Temporal resolution",""
"Data","Predictor variables","Data processing","climate data were interpolated between climate stations using external drift kriging with elevation as covariate; all variables were transformed aiming at uniformity (typically square root or log-transforms; details see paper) and standardised before further analyses"
"Data","Predictor variables","Errors and biases","not available are data on prey availability, on sampling effort, on land management, on human disturbance"
"Data","Predictor variables","Dimension reduction",""
"Data","Transfer data","Data sources","ECHAM5 simulations for 2041-2050 with regional downscaling by WETTREG (http://www.cec-potsdam.de/Produkte/Klima/WettReg/wettreg.html)"
"Data","Transfer data","Spatial extent",
"Data","Transfer data","Spatial resolution",""
"Data","Transfer data","Temporal extent","2041-2050"
"Data","Transfer data","Temporal resolution",""
"Data","Transfer data","Models and scenarios","ECHAM5 simulations for 2041-2050 with regional downscaling by WETTREG (http://www.cec-potsdam.de/Produkte/Klima/WettReg/wettreg.html), for scenarios A1B, A2 and B2, with three rainfall realisations each (dry, normal, wet)"
"Data","Transfer data","Data processing","temperature and rainfall scenarios were transformed using the same transformation as for the original data and the original’s standard deviation and mean for standardisation"
"Data","Transfer data","Quantification of Novelty",""
"Model","Variable pre-selection","Variable pre-selection","Ecological pre-selection of variables we deemed important for the species, down to 12 predictors"
"Model","Multicollinearity","Multicollinearity","Treatment of multicollinearity was tested as part of the study setup: not addressed, PCA and sequential regression."
"Model","Model settings","Model settings (fitting)","glm: family (binomial), formula (linear and quadratic terms); gam: family (binomial), formula (cubic splines); ann: decay (0.03), notes (feed forward; one hidden layer with 7 nodes)"
"Model","Model settings","Model settings (extrapolation)",""
"Model","Model estimates","Coefficients",""
"Model","Model estimates","Parameter uncertainty",""
"Model","Model estimates","Variable importance",""
"Model","Model selection - model averaging - ensembles","Model selection","stepAIC, best subset AIC, best subset with 20 events per variable"
"Model","Model selection - model averaging - ensembles","Model averaging",""
"Model","Model selection - model averaging - ensembles","Model ensembles",""
"Model","Analysis and Correction of non-independence","Spatial autocorrelation",""
"Model","Analysis and Correction of non-independence","Temporal autocorrelation",""
"Model","Analysis and Correction of non-independence","Nested data",""
"Model","Threshold selection","Threshold selection","Prevalence threshold to assess changes in spatial distributions"
"Assessment","Performance statistics","Performance on training data",
"Assessment","Performance statistics","Performance on validation data","AUC"
"Assessment","Performance statistics","Performance on test data",
"Assessment","Plausibility check","Response shapes","partial plot for the four most important predictors in the best model"
"Assessment","Plausibility check","Expert judgement",""
"Prediction","Prediction output","Prediction unit",""
"Prediction","Prediction output","Post-processing",""
"Prediction","Uncertainty quantification","Algorithmic uncertainty","3 different algorithms (GLM, GAM, ANN)"
"Prediction","Uncertainty quantification","Input data uncertainty",""
"Prediction","Uncertainty quantification","Parameter uncertainty","propagation of uncertainty in response, model selection, collinearity, model algorithm, climate change scenario and rainfall scenario onto fit and prediction"
"Prediction","Uncertainty quantification","Scenario uncertainty","3 climate changes scenarios, with three rainfall scenarios each"
"Prediction","Uncertainty quantification","Novel environments",""
